date,ticker,action,shares,price,cost,proceeds,gain_loss
2022-04-30,CF,BUY,55698,89.76860809326172,5012710.253412438,,
2022-10-31,FSLR,BUY,34525,145.57000732421875,5038541.639125824,,
2023-03-01,STT,BUY,61632,82.07868957519531,5071628.640388183,,
2023-06-15,CPAY,BUY,12210,244.4499969482422,2992257.348894882,,
2023-08-01,ORCL,BUY,43602,115.1172103881836,5032106.9688639445,,
2024-01-15,LULU,BUY,10317,479.94000244140625,4963971.442700959,,
2024-06-17,ACGL,BUY,53816,94.33863830566406,5089889.559455262,,
2024-10-31,ORCL,SELL,43602,166.47543334960938,,7240297.180297394,2208190.2114334498
2024-12-16,CPAY,SELL,12210,357.7200012207031,,4356780.761867523,1364523.4129726412
