LLM_Mode,Total_Return_Pct,Annual_Return_Pct,Volatility_Pct,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_Pct,Total_Trades,Win_Rate_Pct,SP500_Excess_Return_Pct,SP500_Beta,SP500_Correlation
OPENAI_ONLY,15.895775676022406,5.199535556104173,716.7314474290911,0.30688419825778357,0.4504102894333898,-5.714818736375234,17,100.0,-5.0771328550778705,0.31983639259396257,0.7832715141665934
ANTHROPIC_ONLY,18.01084154381094,5.8552942895993665,588.633630428651,0.48507155249014605,0.7449250667541237,-6.604924261572331,15,100.0,-4.420992750540753,0.17301929904417523,0.5159295362330175
BOTH,4.720096785200512,1.597350014470722,446.3672428172149,-0.31423676537654355,-0.4573936361469952,-5.084694379647484,9,100.0,-8.6813726913735,0.10248379950683392,0.4029988588889185
